title:PandaPaxx S16 Rolls

// Under Your Skin - Under your Skin (pve)
//notes: I’ve been hearing a lot of chatter about this bow. For good reason. It’s arguably a better Hush. Successful warm-up in conjunction with archer’s tempo really drops that draw time to near-instantaneous speeds. Ideally I would love that draw time and a damage perk to really maximize fun. A bow with chain reaction? Just better dragonfly. Bungie give it to me. Back to Under Your Skin we have a neutral bow that has utility being a legendary void option. Le Monarche just got a wonderful catalyst in unrelenting, so you could potentially have a legendary lemon through dragonfly and unrelenting together. I do think the uniqueness of archer’s tempo and successful warm-up is a great combo, but for every-day play the combos of archer’s and dragonfly or explosive head, or adaptive munitions to rip through various shields is just a better play.

Where the instant draw time really comes into a life of its own is PvP. Unfortunately to Under Your Skin’s detriment, this entirely relies on kills to get going, but once it does? Nearly unstoppable. Hush did have the benefit of not needing a kill, but with the chaos of 6v6 you really don’t need to worry as much. Clean someone up and reap the benefits. Another good combo would be the newly buffed hip-fire grip with opening shot for all the aim assist to hot-swap to a 120 hand cannon or another combo to clean up. tags:pve
dimwishlist:item=232928045&perks=4067834857,3429800428,3108830275,3365897133
dimwishlist:item=232928045&perks=4067834857,3429800428,3108830275,1551736345
dimwishlist:item=232928045&perks=4067834857,3429800428,3108830275,2848615171
dimwishlist:item=232928045&perks=4067834857,3429800428,3108830275,1048183818
dimwishlist:item=232928045&perks=4067834857,3429800428,3108830275,169755979
dimwishlist:item=232928045&perks=4067834857,3429800428,3108830275,3431277734
dimwishlist:item=232928045&perks=4067834857,3429800428,855168139,3365897133
dimwishlist:item=232928045&perks=4067834857,3429800428,855168139,1551736345
dimwishlist:item=232928045&perks=4067834857,3429800428,855168139,2848615171
dimwishlist:item=232928045&perks=4067834857,3429800428,855168139,1048183818
dimwishlist:item=232928045&perks=4067834857,3429800428,855168139,169755979
dimwishlist:item=232928045&perks=4067834857,3429800428,855168139,3431277734
dimwishlist:item=232928045&perks=4067834857,3429800428,201365942,3365897133
dimwishlist:item=232928045&perks=4067834857,3429800428,201365942,1551736345
dimwishlist:item=232928045&perks=4067834857,3429800428,201365942,2848615171
dimwishlist:item=232928045&perks=4067834857,3429800428,201365942,1048183818
dimwishlist:item=232928045&perks=4067834857,3429800428,201365942,169755979
dimwishlist:item=232928045&perks=4067834857,3429800428,201365942,3431277734
dimwishlist:item=232928045&perks=4067834857,3429800428,3523746922,3365897133
dimwishlist:item=232928045&perks=4067834857,3429800428,3523746922,1551736345
dimwishlist:item=232928045&perks=4067834857,3429800428,3523746922,2848615171
dimwishlist:item=232928045&perks=4067834857,3429800428,3523746922,1048183818
dimwishlist:item=232928045&perks=4067834857,3429800428,3523746922,169755979
dimwishlist:item=232928045&perks=4067834857,3429800428,3523746922,3431277734
dimwishlist:item=232928045&perks=4067834857,3311977193,3108830275,3365897133
dimwishlist:item=232928045&perks=4067834857,3311977193,3108830275,1551736345
dimwishlist:item=232928045&perks=4067834857,3311977193,3108830275,2848615171
dimwishlist:item=232928045&perks=4067834857,3311977193,3108830275,1048183818
dimwishlist:item=232928045&perks=4067834857,3311977193,3108830275,169755979
dimwishlist:item=232928045&perks=4067834857,3311977193,3108830275,3431277734
dimwishlist:item=232928045&perks=4067834857,3311977193,855168139,3365897133
dimwishlist:item=232928045&perks=4067834857,3311977193,855168139,1551736345
dimwishlist:item=232928045&perks=4067834857,3311977193,855168139,2848615171
dimwishlist:item=232928045&perks=4067834857,3311977193,855168139,1048183818
dimwishlist:item=232928045&perks=4067834857,3311977193,855168139,169755979
dimwishlist:item=232928045&perks=4067834857,3311977193,855168139,3431277734
dimwishlist:item=232928045&perks=4067834857,3311977193,201365942,3365897133
dimwishlist:item=232928045&perks=4067834857,3311977193,201365942,1551736345
