title:Reload Damage
description:Only focused on S15 weapons with reload/damage perks



//Default Subsistence One for All
//notes: Catch All Subsistence One for all, Hey it's okay and better than others
dimwishlist::item=-69420&perks=3426439907,4049631843


// Annual Skate - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=6857689&perks=1168162263,2458213969
dimwishlist:item=6857689&perks=1168162263,4082225868
dimwishlist:item=6857689&perks=3436462433,2458213969
dimwishlist:item=6857689&perks=3436462433,4082225868


// Punching Out - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=378498222&perks=3643424744,4082225868
dimwishlist:item=378498222&perks=3643424744,4104185692
dimwishlist:item=378498222&perks=3643424744,1015611457
dimwishlist:item=378498222&perks=2779035018,4082225868
dimwishlist:item=378498222&perks=2779035018,4104185692
dimwishlist:item=378498222&perks=2779035018,1015611457
dimwishlist:item=378498222&perks=1820235745,4082225868
dimwishlist:item=378498222&perks=1820235745,4104185692
dimwishlist:item=378498222&perks=1820235745,1015611457
dimwishlist:item=378498222&perks=3436462433,4082225868
dimwishlist:item=378498222&perks=3436462433,4104185692
dimwishlist:item=378498222&perks=3436462433,1015611457


// The Last Breath - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=507038823&perks=1820235745,4049631843
dimwishlist:item=507038823&perks=1820235745,4104185692
dimwishlist:item=507038823&perks=3523296417,4049631843
dimwishlist:item=507038823&perks=3523296417,4104185692


// Contingency Plan - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=577528837&perks=1168162263,4049631843
dimwishlist:item=577528837&perks=1168162263,4104185692
dimwishlist:item=577528837&perks=1820235745,4049631843
dimwishlist:item=577528837&perks=1820235745,4104185692


// Contingency Plan - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=577528837&perks=1168162263,1015611457


// Scathelocke - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=602618796&perks=1570042021,2458213969
dimwishlist:item=602618796&perks=1570042021,3425386926
dimwishlist:item=602618796&perks=1820235745,2458213969
dimwishlist:item=602618796&perks=1820235745,3425386926
dimwishlist:item=602618796&perks=3436462433,2458213969
dimwishlist:item=602618796&perks=3436462433,3425386926


// Peacebond - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=829330711&perks=1820235745,4082225868
dimwishlist:item=829330711&perks=1820235745,124408337


// The Comedian - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=1028582252&perks=4252909580,2360754333
dimwishlist:item=1028582252&perks=4252909580,4049631843
dimwishlist:item=1028582252&perks=4252909580,1546637391
dimwishlist:item=1028582252&perks=1820235745,2360754333
dimwishlist:item=1028582252&perks=1820235745,4049631843
dimwishlist:item=1028582252&perks=1820235745,1546637391


// Forge's Pledge - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=1076810832&perks=3436462433,3425386926
dimwishlist:item=1076810832&perks=3436462433,2458213969
dimwishlist:item=1076810832&perks=3300816228,3425386926
dimwishlist:item=1076810832&perks=3300816228,2458213969
dimwishlist:item=1076810832&perks=1570042021,3425386926
dimwishlist:item=1076810832&perks=1570042021,2458213969


// Servant Leader - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=1107446438&perks=1354429876,2458213969
dimwishlist:item=1107446438&perks=1354429876,3425386926
dimwishlist:item=1107446438&perks=1354429876,1015611457
dimwishlist:item=1107446438&perks=1354429876,4104185692
dimwishlist:item=1107446438&perks=1354429876,4049631843
dimwishlist:item=1107446438&perks=1570042021,2458213969
dimwishlist:item=1107446438&perks=1570042021,3425386926
dimwishlist:item=1107446438&perks=1570042021,1015611457
dimwishlist:item=1107446438&perks=1570042021,4104185692
dimwishlist:item=1107446438&perks=1570042021,4049631843
dimwishlist:item=1107446438&perks=3436462433,2458213969
dimwishlist:item=1107446438&perks=3436462433,3425386926
dimwishlist:item=1107446438&perks=3436462433,1015611457
dimwishlist:item=1107446438&perks=3436462433,4104185692
dimwishlist:item=1107446438&perks=3436462433,4049631843
dimwishlist:item=1107446438&perks=1820235745,2458213969
dimwishlist:item=1107446438&perks=1820235745,3425386926
dimwishlist:item=1107446438&perks=1820235745,1015611457
dimwishlist:item=1107446438&perks=1820235745,4104185692
dimwishlist:item=1107446438&perks=1820235745,4049631843
dimwishlist:item=1107446438&perks=1168162263,2458213969
dimwishlist:item=1107446438&perks=1168162263,3425386926
dimwishlist:item=1107446438&perks=1168162263,1015611457
dimwishlist:item=1107446438&perks=1168162263,4104185692
dimwishlist:item=1107446438&perks=1168162263,4049631843
dimwishlist:item=1107446438&perks=247725512,2458213969
dimwishlist:item=1107446438&perks=247725512,3425386926
dimwishlist:item=1107446438&perks=247725512,1015611457
dimwishlist:item=1107446438&perks=247725512,4104185692
dimwishlist:item=1107446438&perks=247725512,4049631843


// Chrysura Melo - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=1337707096&perks=1354429876,2848615171
dimwishlist:item=1337707096&perks=1354429876,2458213969
dimwishlist:item=1337707096&perks=1354429876,4104185692
dimwishlist:item=1337707096&perks=1168162263,2848615171
dimwishlist:item=1337707096&perks=1168162263,2458213969
dimwishlist:item=1337707096&perks=1168162263,4104185692
dimwishlist:item=1337707096&perks=1195158366,2848615171
dimwishlist:item=1337707096&perks=1195158366,2458213969
dimwishlist:item=1337707096&perks=1195158366,4104185692
dimwishlist:item=1337707096&perks=1570042021,2848615171
dimwishlist:item=1337707096&perks=1570042021,2458213969
dimwishlist:item=1337707096&perks=1570042021,4104185692


// Reed's Regret - Ocelot's Simple Wishlist (pve)
//notes: Ocelot's Simple Wishlist #PvEReload/Damage tags:pve
dimwishlist:item=1399243961&perks=3436462433,124408337
dimwishlist:item=1399243961&perks=3436462433,3425386926
dimwishlist:item=1399243961&perks=3436462433,1771339417
dimwishlist:item=1399243961&perks=3436462433,1546637391
dimwishlist:item=1399243961&perks=1570042021,124408337
dimwishlist:item=1399243961&perks=1570042021,3425386926
dimwishlist:item=1399243961&perks=1570042021,1771339417
dimwishlist:item=1399243961&perks=1570042021,1546637391
dimwishlist:item=1399243961&perks=2284787283,124408337
dimwishlist:item=1399243961&perks=2284787283,3425386926
